train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,lr_abs,epoch,step,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.025448059663176537,0.00010041861241916195,0.025448059663176537,9.0,9.000091e-06,0,9,,,
,,,,,0,12,0.1032695472240448,0.001021520933136344,0.1032695472240448
0.058334991335868835,0.0001976925996132195,0.058334991335868835,19.0,1.9000081e-05,1,19,,,
,,,,,1,25,0.13899140059947968,0.001204063300974667,0.13899140059947968
0.11017294973134995,0.00044031167635694146,0.11017294973134995,29.0,2.9000071e-05,2,29,,,
,,,,,2,38,0.1140303835272789,0.0006844811723567545,0.1140303835272789
0.043771885335445404,0.00015237639308907092,0.043771885335445404,39.0,3.9000061e-05,3,39,,,
0.25353947281837463,0.0012495149858295918,0.25353947281837463,49.0,4.9000051000000005e-05,3,49,,,
,,,,,3,51,0.1636793613433838,0.003273971611633897,0.1636793613433838
0.013366754166781902,5.9474063164088875e-05,0.013366754166781902,59.0,5.9000041e-05,4,59,,,
,,,,,4,64,0.1140454113483429,0.0006437781266868114,0.1140454113483429
0.03898315876722336,0.00013756559928879142,0.03898315876722336,69.0,6.900003100000001e-05,5,69,,,
,,,,,5,77,0.15897049009799957,0.0021268038544803858,0.15897049009799957
0.015552484430372715,6.271470192587003e-05,0.015552484430372715,79.0,7.9000021e-05,6,79,,,
0.22285285592079163,0.001176309771835804,0.22285285592079163,89.0,8.9000011e-05,6,89,,,
,,,,,6,90,0.09688497334718704,0.000930260110180825,0.09688497334718704
0.08737434446811676,0.0003341839474160224,0.08737434446811676,99.0,9.9000001e-05,7,99,,,
,,,,,7,103,0.1262332797050476,0.001550996326841414,0.1262332797050476
0.03675544634461403,0.00013152111205272377,0.03675544634461403,109.0,0.0001,8,109,,,
,,,,,8,116,0.10208115726709366,0.0006904499605298042,0.10208115726709366
0.31057167053222656,0.005682966206222773,0.31057167053222656,119.0,0.0001,9,119,,,
0.034209463745355606,0.00011914814240299165,0.034209463745355606,129.0,0.0001,9,129,,,
,,,,,9,129,0.10735253989696503,0.0011201715096831322,0.10735253989696503
0.1259932965040207,0.0006263289833441377,0.1259932965040207,139.0,0.0001,10,139,,,
,,,,,10,142,0.13170966506004333,0.0025605850387364626,0.13170966506004333
0.04029948636889458,0.0001622755080461502,0.04029948636889458,149.0,0.0001,11,149,,,
,,,,,11,155,0.10694888234138489,0.0010503210360184312,0.10694888234138489
0.0404534637928009,0.00013630888133775443,0.0404534637928009,159.0,0.0001,12,159,,,
,,,,,12,168,0.11337655037641525,0.0035153685603290796,0.11337655037641525
0.03924714773893356,0.00013445536023937166,0.03924714773893356,169.0,0.0001,13,169,,,
0.055626850575208664,0.00019134175090584904,0.055626850575208664,179.0,0.0001,13,179,,,
,,,,,13,181,0.07004383206367493,0.0004298917774576694,0.07004383206367493
0.10913807898759842,0.0005716221057809889,0.10913807898759842,189.0,0.0001,14,189,,,
,,,,,14,194,0.08623595535755157,0.0008310104603879154,0.08623595535755157
0.08539504557847977,0.00031568127451464534,0.08539504557847977,199.0,0.0001,15,199,,,
,,,,,15,207,0.10655021667480469,0.001754331518895924,0.10655021667480469
0.05778322368860245,0.00030254406738094985,0.05778322368860245,209.0,0.0001,16,209,,,
0.014229277148842812,5.331083229975775e-05,0.014229277148842812,219.0,0.0001,16,219,,,
,,,,,16,220,0.08367109298706055,0.0009104932541958988,0.08367109298706055
0.08223581314086914,0.0003174955490976572,0.08223581314086914,229.0,0.0001,17,229,,,
,,,,,17,233,0.10173099488019943,0.0013429871760308743,0.10173099488019943
0.026889000087976456,0.00010202290286542848,0.026889000087976456,239.0,0.0001,18,239,,,
,,,,,18,246,0.07606285065412521,0.008748820051550865,0.07606285065412521
0.0372227244079113,0.00014351695426739752,0.0372227244079113,249.0,0.0001,19,249,,,
0.1827528476715088,0.0044085620902478695,0.1827528476715088,259.0,0.0001,19,259,,,
,,,,,19,259,0.09219760447740555,0.0007851498667150736,0.09219760447740555
0.026346085593104362,9.370167390443385e-05,0.026346085593104362,269.0,0.0001,20,269,,,
,,,,,20,272,0.10688913613557816,0.013118949718773365,0.10688913613557816
0.09098774194717407,0.0005084882723167539,0.09098774194717407,279.0,0.0001,21,279,,,
,,,,,21,285,0.10733044147491455,0.01120765320956707,0.10733044147491455
0.0840095728635788,0.00031895391293801367,0.0840095728635788,289.0,0.0001,22,289,,,
,,,,,22,298,0.11832208931446075,0.004687884822487831,0.11832208931446075
0.14952653646469116,0.0011984684970229864,0.14952653646469116,299.0,0.0001,23,299,,,
0.23690743744373322,0.01689520850777626,0.23690743744373322,309.0,0.0001,23,309,,,
,,,,,23,311,0.09594061970710754,0.001881430740468204,0.09594061970710754
0.10547048598527908,0.00047237874241545796,0.10547048598527908,319.0,0.0001,24,319,,,
,,,,,24,324,0.11300060898065567,0.004039245657622814,0.11300060898065567
0.1371125876903534,0.002382560633122921,0.1371125876903534,329.0,0.0001,25,329,,,
,,,,,25,337,0.069658063352108,0.0005834873882122338,0.069658063352108
0.05086943507194519,0.0002402538520982489,0.05086943507194519,339.0,0.0001,26,339,,,
0.07778254896402359,0.0003469692310318351,0.07778254896402359,349.0,0.0001,26,349,,,
,,,,,26,350,0.06085458770394325,0.0028691596817225218,0.06085458770394325
0.047799281775951385,0.00027976534329354763,0.047799281775951385,359.0,0.0001,27,359,,,
,,,,,27,363,0.05562395229935646,0.0008938258979469538,0.05562395229935646
0.025025740265846252,8.637069549877197e-05,0.025025740265846252,369.0,0.0001,28,369,,,
,,,,,28,376,0.05007697269320488,0.0019677295349538326,0.05007697269320488
0.03679390996694565,0.00013386191858444363,0.03679390996694565,379.0,0.0001,29,379,,,
0.009868785738945007,3.6871184420306236e-05,0.009868785738945007,389.0,0.0001,29,389,,,
,,,,,29,389,0.045577000826597214,0.0004138368822168559,0.045577000826597214
0.10912884771823883,0.002058729063719511,0.10912884771823883,399.0,0.0001,30,399,,,
,,,,,30,402,0.08150097727775574,0.0032657277770340443,0.08150097727775574
0.03159110248088837,0.00011014268966391683,0.03159110248088837,409.0,0.0001,31,409,,,
,,,,,31,415,0.08137422800064087,0.002146696439012885,0.08137422800064087
0.042604051530361176,0.00018338023801334202,0.042604051530361176,419.0,0.0001,32,419,,,
,,,,,32,428,0.06546799093484879,0.0010586694115772843,0.06546799093484879
0.038770437240600586,0.00016769742069300264,0.038770437240600586,429.0,0.0001,33,429,,,
